Id,UserId,Name,Date,Class,TagBased
1,2,Autobiographer,2010-11-11T21:35:03.480,3,False
2,9,Autobiographer,2010-11-11T21:35:03.493,3,False
3,18,Autobiographer,2010-11-11T21:35:03.510,3,False
4,13,Student,2010-11-11T21:40:03.340,3,False
5,18,Student,2010-11-11T21:40:03.417,3,False
6,13,Supporter,2010-11-11T21:40:03.557,3,False
7,18,Supporter,2010-11-11T21:40:03.557,3,False
8,25,Autobiographer,2010-11-11T22:05:08.527,3,False
9,44,Autobiographer,2010-11-11T22:10:08.963,3,False
10,33,Autobiographer,2010-11-11T22:15:08.590,3,False
11,4,Autobiographer,2010-11-11T22:35:15.460,3,False
12,5,Autobiographer,2010-11-11T22:45:15.700,3,False
13,26,Autobiographer,2010-11-11T22:50:15.543,3,False
14,25,Student,2010-11-11T22:55:15.513,3,False
15,45,Supporter,2010-11-11T22:55:15.623,3,False
16,45,Autobiographer,2010-11-11T22:55:15.640,3,False
17,62,Autobiographer,2010-11-11T23:15:22.383,3,False
18,62,Teacher,2010-11-11T23:20:22.353,3,False
19,26,Supporter,2010-11-11T23:20:22.447,3,False
20,59,Autobiographer,2010-11-11T23:20:22.463,3,False
21,33,Supporter,2010-11-11T23:25:22.433,3,False
22,33,Teacher,2010-11-11T23:30:22.700,3,False
23,33,Editor,2010-11-12T00:00:21.790,3,False
24,2,Organizer,2010-11-12T00:25:21.657,3,False
25,49,Supporter,2010-11-12T00:30:21.737,3,False
26,49,Autobiographer,2010-11-12T00:30:21.767,3,False
27,56,Autobiographer,2010-11-12T00:30:21.767,3,False
28,58,Autobiographer,2010-11-12T01:40:21.217,3,False
29,56,Teacher,2010-11-12T01:45:21.187,3,False
30,58,Supporter,2010-11-12T01:45:21.297,3,False
31,80,Autobiographer,2010-11-12T03:05:21.367,3,False
32,84,Autobiographer,2010-11-12T03:30:21.450,3,False
33,26,Scholar,2010-11-12T03:30:21.467,3,False
34,76,Supporter,2010-11-12T04:05:21.493,3,False
35,89,Autobiographer,2010-11-12T05:35:21.627,3,False
36,91,Autobiographer,2010-11-12T05:35:21.643,3,False
37,108,Autobiographer,2010-11-12T11:05:21.267,3,False
38,37,Autobiographer,2010-11-12T11:10:21.393,3,False
39,26,Student,2010-11-13T01:15:32.177,3,False
